name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,image
G.Skill Flare X5 16 GB,,"5,6000","1,16",,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance 96 GB,324.99,"5,6000","2,48",3.385,Black / Silver,10.0,30,https://m.media-amazon.com/images/I/310jEGnm7yL.jpg
Corsair Vengeance LPX 8 GB,36.99,"4,2400","1,8",4.624,Black / Yellow,13.333,16,https://cdna.pcpartpicker.com/static/forever/images/product/ef1c9d46308283f227a0ba51e4179ff1.256p.jpg
Silicon Power XPOWER Zenith Gaming 64 GB,164.99,"5,6000","2,32",2.578,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Lexar Ares RGB 32 GB,114.99,"5,6000","2,16",3.593,Black,10.0,30,https://m.media-amazon.com/images/I/31G8MidAnSL.jpg
Crucial CT2K8G4DFRA32A 16 GB,56.54,"4,3200","2,8",3.534,Green,13.75,22,https://cdna.pcpartpicker.com/static/forever/images/product/06c2821b511af7881d5766ee7c640e5f.256p.jpg
Corsair Dominator Titanium 32 GB,179.99,"5,6000","2,16",5.625,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/d031b41e8948f8b9499ec37c6b33bd91.256p.jpg
Crucial CT8G4DFS824A 8 GB,19.98,"4,2400","1,8",2.498,Green,14.167,17,https://cdna.pcpartpicker.com/static/forever/images/product/a6e59e45a1d663e7daa43f2eb72c9b2b.256p.jpg
Kingston HyperX Fury 16 GB,,"4,3200","2,8",,Black / Silver,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/253be8362d567f55b4ce7672e42a6cb2.256p.jpg
Timetec PINNACLE Konduit 32 GB,59.99,"4,3200","2,16",1.875,White,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Timetec PINNACLE Konduit 32 GB,,"4,3600","2,16",,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Kingston FURY Beast RGB 64 GB,244.99,"5,6000","2,32",3.828,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/54ddbd8a23594ec6f8f120d748c9e559.256p.jpg
Corsair Vengeance RGB 64 GB,217.99,"5,6000","2,32",3.406,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg
Corsair Vengeance 192 GB,614.99,"5,5200","4,48",3.203,Black,14.615,38,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Trident Z5 RGB 64 GB,254.99,"5,6800","2,32",3.984,Black,10.0,34,https://cdna.pcpartpicker.com/static/forever/images/product/e5d0d71b07fa16cc1ac7eb3c676a7831.256p.jpg
TEAMGROUP T-Force Vulcan 32 GB,82.99,"5,6000","2,16",2.593,Black,12.667,38,https://m.media-amazon.com/images/I/419fXKKDtvL.jpg
