name,price,chipset,memory,core_clock,boost_clock,color,length,image
Sapphire PULSE,299.99,Radeon RX 9060 XT,8,2220,3290.0,Black,240,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
Asus PRIME OC,939.99,GeForce RTX 5070 Ti,16,2300,2527.0,Black / White,306,https://cdna.pcpartpicker.com/static/forever/images/product/a276b7c0da9743accbc0a6e0d88732df.256p.jpg
MSI GAMING TRIO OC,1449.99,GeForce RTX 5080,16,2300,,Black / Silver,338,https://cdna.pcpartpicker.com/static/forever/images/product/370365e652c3b14625e18aedae953a7b.256p.jpg
Gigabyte GAMING OC,369.95,Radeon RX 7600,8,1720,2755.0,Black / Silver,282,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Asus TUF GAMING OC,698.0,GeForce RTX 3070,8,1500,1845.0,Black,300,https://cdna.pcpartpicker.com/static/forever/images/product/a9f549d5905f54cf6f3e43c9a38643d5.256p.jpg
MSI SHADOW 2X OC,599.99,GeForce RTX 5070,12,2557,,Black,231,https://cdna.pcpartpicker.com/static/forever/images/product/8c4f403aea1d6a32045a6368e23486c1.256p.jpg
Asus DUAL OC,199.97,GeForce RTX 3050 6GB,6,1040,1537.0,Black,201,https://cdna.pcpartpicker.com/static/forever/images/product/59667fe806af75adbdce293b8f5fb626.256p.jpg
XFX Speedster QICK 319 Core,689.0,Radeon RX 7800 XT,16,1295,2430.0,Black,335,https://m.media-amazon.com/images/I/31wu10Ja0IL.jpg
Asus PRIME OC,439.99,Radeon RX 9060 XT,16,2220,,Black,304,https://cdna.pcpartpicker.com/static/forever/images/product/a276b7c0da9743accbc0a6e0d88732df.256p.jpg
Gigabyte GAMING OC Rev 2.0,354.99,GeForce RTX 3060 12GB,12,1320,1837.0,Black / Gray,282,https://cdna.pcpartpicker.com/static/forever/images/product/23125b08d8d0986375005ffebc793f62.256p.jpg
MSI VENTUS 2X XS OC,219.99,GeForce RTX 3050 8GB,8,1550,1807.0,Black / Gray,205,https://cdna.pcpartpicker.com/static/forever/images/product/cd30fd761012460241548ac2a5a9f8a4.256p.jpg
Zotac SOLID SFF OC,839.99,GeForce RTX 5070 Ti,16,2300,2482.0,Black / Gold,304,https://cdna.pcpartpicker.com/static/forever/images/product/24498205825bda83d2141b3f02cac70c.256p.jpg
MSI GAMING TRIO OC,1310.93,GeForce RTX 5070 Ti,16,2300,2580.0,White,338,https://cdna.pcpartpicker.com/static/forever/images/product/370365e652c3b14625e18aedae953a7b.256p.jpg
XFX Speedster SWFT 210 Core,409.99,Radeon RX 7700 XT,12,1425,2544.0,Black,280,https://m.media-amazon.com/images/I/41qsQY8oXcL.jpg
PowerColor Reaper,799.99,Radeon RX 9070 XT,16,2400,2970.0,Black / Red,289,https://cdna.pcpartpicker.com/static/forever/images/product/f534d935371e62d5ae8e46e9f05f300d.256p.jpg
XFX Quicksilver,799.99,Radeon RX 9070 XT,16,2400,2970.0,Black,350,https://cdna.pcpartpicker.com/static/forever/images/product/ebf432c454d8993028e4b9dfdbe3f319.256p.jpg
Gigabyte EAGLE OC SFF,669.99,GeForce RTX 5070,12,2160,2587.0,White,290,https://cdna.pcpartpicker.com/static/forever/images/product/a3192df075922ee3bd6fe1e04301b624.256p.jpg
PNY OC,749.99,GeForce RTX 5070 Ti,16,2295,2572.0,Black,300,
MSI GAMING TRIO OC PLUS,849.99,GeForce RTX 5070 Ti,16,2300,2580.0,Black,338,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg
NVIDIA Founders Edition,399.0,GeForce RTX 4060 Ti,8,2310,2540.0,Black / Silver,244,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
Gigabyte AORUS ELITE,1059.54,Radeon RX 9070 XT,16,2570,3100.0,Black,339,https://cdna.pcpartpicker.com/static/forever/images/product/2806df8c8e8b332c4fbf1a0621f41d93.256p.jpg
MSI SHADOW 3X OC,1339.0,GeForce RTX 5080,16,2300,2655.0,Black,303,https://cdna.pcpartpicker.com/static/forever/images/product/d91d1da465afdceccb1152763b266b4a.256p.jpg
MSI GT 710 2GD3 LP,59.95,GeForce GT 710,2,954,,Black,146,https://m.media-amazon.com/images/I/41dQe-GXE9L.jpg
